"Cover photo makes your content look attractive. Choose and upload a cover photo.";"Cover photo makes your content look attractive. Choose and upload a cover photo."
"The recommended height for the photo is 300px to enable ""Drag to Reposition Cover Photo"" feature.";"The recommended height for the photo is 300px to enable ""Drag to Reposition Cover Photo"" feature."
"Choose cover photo";"Choose cover photo"
"Edit font color";"Edit font color"
"Are you sure you want to remove Cover Photo?";"Are you sure you want to remove Cover Photo?"
"Are you sure you want to remove Profile Picture?";"Are you sure you want to remove Profile Picture?"
"Edit Cover Photo";"Edit Cover Photo"
"Add Cover Photo";"Add Cover Photo"
"Upload Cover Photo";"Upload Cover Photo"
"ADMIN_ACTIVITY_TYPE_ALBUM_COVER_UPDATE";"When owner update cover photo of their albums."
"_ACTIVITY_ACTIONTYPE_ALBUM_COVER_UPDATE";"Update a album cover photo."
"Views";"Views"
"View";"View"
"Likes";"Likes"
"Like";"Like"
"Comments";"Comments"
"Comment";"Comment"
"Photos";"Photos"
"Photo";"Photo"
"%s Title";"%s Title"
"Owner Name";"Owner Name"
"By %1$s";"By %1$s"
"Category";"Category"
"Location";"Location"
"Creation Date";"Creation Date"
"Update Date";"Update Date"
"Updated about %1$s";"Updated about %1$s"
"See more";"See more"
"Edit Font Color";"Edit Font Color"
"%s member";"%s member";"%s members"
"member";"member"
"{item:$subject} updated cover photo of the group {item:$object}:";"{item:$subject} updated cover photo of the group {item:$object}:"
"Hosted By";"Hosted By"
