"ADMIN_ACTIVITY_TYPE_USER_COVER_UPDATE";"When a user (subject) update his cover photo."
"_ACTIVITY_ACTIONTYPE_USER_COVER_UPDATE";"Update a user cover photo."
"{item:$subject} has updated a new cover photo.";"{item:$subject} has updated a new cover photo."
"Here, you can upload and set default user cover photo for various pages on your site (Note: This photo will be displayed on various pages as configured by you from the Layout Editor, until members upload a cover photo.). Please %s to go to your profile.";"Here, you can upload and set default user cover photo for various pages on your site (Note: This photo will be displayed on various pages as configured by you from the Layout Editor, until members upload a cover photo.). Please %s to go to your profile."
"Set this cover photo as default cover photo for the various pages on your site for all Member Levels.";"Set this cover photo as default cover photo for the various pages on your site for all Member Levels."
"Remove this default cover photo from various pages on your site for all Member Levels.";"Remove this default cover photo from various pages on your site for all Member Levels."
"Upload Default Cover Photo";"Upload Default Cover Photo"
"Upload a Default Cover Photo";"Upload a Default Cover Photo"
"Choose a dafault cover photo.";"Choose a dafault cover photo."
"Upload User Cover Photo";"Upload User Cover Photo"
"Upload a User Cover Photo";"Upload a User Cover Photo"
"Upload A Cover Photo";"Upload A Cover Photo"
"Choose a cover photo.";"Choose a cover photo."
"Remove Cover Photo?";"Remove Cover Photo?"
"Are you sure you want to remove your Cover Photo?";"Are you sure you want to remove your Cover Photo?"
"Remove Default Cover Photo?";"Remove Default Cover Photo?"
"Are you sure you want to remove Default Cover Photo?";"Are you sure you want to remove Default Cover Photo?"
"Remove Profile Picture?";"Remove Profile Picture?"
"Are you sure you want to remove your Profile Picture?";"Are you sure you want to remove your Profile Picture?"
"Upload Profile Picture";"Upload Profile Picture"
"Upload a Profile Picture";"Upload a Profile Picture"
"Choose a profile picture.";"Choose a profile picture."
"Choose User Cover Photo";"Choose User Cover Photo"
"Choose User Profile Picture";"Choose User Profile Picture"
"Select Album to choose User Cover Photo";"Select Album to choose User Cover Photo"
"Select Album to choose User Profile Picture";"Select Album to choose User Profile Picture"
"Photos in %s";"Photos in %s"
"Recent Photos";"Recent Photos"
"View Albums";"View Albums"
"There are currently no photos available.";"There are currently no photos available."
"There are currently no albums available.";"There are currently no albums available."
"Drag to Reposition Cover Photo";"Drag to Reposition Cover Photo"
"Edit Cover Photo";"Edit Cover Photo"
"Add Cover Photo";"Add Cover Photo"
"Upload Cover Photo";"Upload Cover Photo"
"Choose from Album Photos";"Choose from Album Photos"
"Reposition";"Reposition"
"Remove Cover Photo";"Remove Cover Photo"
"Save Position";"Save Position"
"Drag to Reposition Default Cover Photo";"Drag to Reposition Default Cover Photo"
"Edit Default Cover Photo";"Edit Default Cover Photo"
"Add Default Cover Photo";"Add Default Cover Photo"
"Remove Default Cover Photo";"Remove Default Cover Photo"
"Edit Profile Picture";"Edit Profile Picture"
"Add Profile Picture";"Add Profile Picture"
"Upload Photo";"Upload Photo"
"Take Photo";"Take Photo"
"Update Info";"Update Info"
"Display Name";"Display Name"
